event_slug,event_name,overview_url,split,league,region,day,group,game_id,source_url,source_scope,table_index,table_type,table_heading,row_number,player,team,best_p,games,kills,assists,knocks,times_knocked,dmg_dealt,dmg_taken,dmg_diff,dmg_per_kill,ring_dmg,rez,rspn,k_per_d,ka_per_d,deaths,surv_time,avg_time_to_first_kill,top_10_pct,t10_to_t5_pct,t5_to_t1_pct
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,23,DF Bolin,DreamFire,1st,6,3,3,6,6,"4,332","2,517","1,815",1444,195,1,0,0.5,1,6,1h 42m 11s,,52.5%,42.9%,11.1%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,24,SSG Xynew,SSG,1st,34,43,48,57,37,"28,088","17,203","10,885",653.21,"1,775",5,0,1.48,3.14,29,9h 52m 29s,,50%,70.6%,41.7%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,25,XNY JonnyR,XNY,6th,24,16,11,18,25,"10,116","11,044",-928,632.25,834,1,0,0.64,1.08,25,5h 16m 10s,,20.8%,0%,0%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,26,FLCN Genburten,Team Falcons,1st,34,34,53,44,37,"24,448","19,018","5,430",719.06,603,5,1,1.1,2.81,31,9h 14m 10s,,41.2%,50%,42.9%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,27,E36 Aimbot,ENTER FORCE.36,1st,34,39,30,45,40,"20,646","21,636",-990,529.38,"1,562",10,1,1.11,1.97,35,9h 46m 23s,,47.1%,56.3%,11.1%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,28,MST Wxltzy,Not Moist,1st,34,74,66,89,47,"35,857","28,205","7,652",484.55,"2,162",7,0,2,3.78,37,10h 20m 23s,,61.8%,61.9%,23.1%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,29,FNC Lykq,FNATIC,1st,40,43,50,54,50,"27,296","21,435","5,861",634.79,"3,201",4,0,1.05,2.27,41,11h 23m 49s,,50%,65%,15.4%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,30,GLD Legacy,GUILD,1st,40,57,33,65,56,"23,047","24,106","-1,059",404.33,"1,670",5,1,1.12,1.76,51,11h 50m 11s,,67.5%,59.3%,18.8%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,31,NRG Reptar,NRG,1st,34,26,23,34,35,"16,076","18,958","-2,882",618.31,"1,027",2,0,0.79,1.48,33,10h 28m 15s,,67.6%,52.2%,16.7%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,32,FAK JSavageW,FA KIDS,4th,24,18,27,23,28,"11,112","12,293","-1,181",617.33,"2,201",12,5,0.67,1.67,27,6h 26m 59s,,37.5%,11.1%,0%
